GEN_0102	2008-01-01	2008-06-09	161	GEN_0102_1	QM	15	SCH_5200	0.189
LAP_0198	2008-01-01	2008-07-12	194	LAP_0198_1	QM	15	SBE_0290	0.143
MB_0296	2008-01-01	2008-07-12	194	MB_0296_1	QM	15	MB_0196	0.199
MUR_0299	2008-01-01	2008-07-12	194	MUR_0299_1	QM	15	RIT_0102	0.054
RIT_0102	2008-06-06	2008-09-09	96	RIT_0102_1	QM	15	GEM_0106	0.091
RIT_0102	2008-06-09	2008-09-28	112	RIT_0102_2	QM	15	STO_6000	0.095
SCH_5000	2008-07-02	2009-01-12	195	SCH_5000_1	QM	15	SBE_0290	0.296
SCH_5200	2008-07-02	2009-02-15	229	SCH_5200_1	QM	15	SBE_0290	0.087
SCH_5198	2008-07-03	2009-03-04	245	SCH_5198_1	QM	15	GEM_0106	0.228
MUR_0199	2008-07-14	2009-04-12	273	MUR_0199_1	QM	15	SCH_5198	0.265
MUR_0199	2008-08-04	2009-04-15	255	MUR_0199_2	QM	15	SCH_5198	0.24
MUR_0499	2008-08-04	2009-04-15	255	MUR_0499_1	QM	15	SBE_0290	0.155
MAT_0205	2008-08-18	2009-08-09	357	MAT_0205_1	QM	15	RIT_0102	0.721
STO_6000	2008-10-14	2009-09-28	350	STO_6000_1	QM	15	SCH_5198	0.53
STO_6100	2008-10-16	2009-10-06	356	STO_6100_1	QM	15	SCH_5198	0.25
COR_0287	2009-01-08	2009-10-14	280	COR_0287_1	QM	15	GEM_0106	0.526
COR_0287	2009-01-29	2009-10-14	259	COR_0287_2	QM	15	GEM_0106	0.481
RIT_0102	2009-03-04	2009-10-14	225	RIT_0102_3	QM	15	ATT_0108	0.24
COR_0287	2009-03-20	2009-10-17	212	COR_0287_3	QM	15	SBE_0290	0.448
COR_0287	2009-06-11	2009-10-31	143	COR_0287_4	QM	15	SBE_0290	0.133
COR_0200	2009-10-13	2009-11-08	27	COR_0200_1	QM	15	COR_0287	0.224
LAP_0198	2009-10-14	2009-11-17	35	LAP_0198_2	QM	15	MUR_0199	0.086
LAP_1108	2009-10-14	2010-01-11	90	LAP_1108_1	QM	15	ATT_0108	0.026
LAP_1208	2009-10-14	2010-01-13	92	LAP_1208_1	QM	15	COR_0287	0.116
STO_6100	2009-10-31	2010-02-07	100	STO_6100_2	QM	15	GEN_0102	0.033
STO_6100	2009-11-08	2010-02-07	92	STO_6100_3	QM	15	GEN_0102	0.033
SCH_5198	2009-11-17	2010-02-10	86	SCH_5198_2	QM	15	GEM_0106	0.054
STO_6100	2010-01-02	2010-02-10	40	STO_6100_4	QM	15	GEN_0102	0.054
STO_6100	2010-01-13	2010-02-23	42	STO_6100_5	QM	15	ATT_0108	0.05
STO_6100	2010-01-17	2010-03-06	49	STO_6100_6	QM	15	MAT_0205	0.089
SCH_5000	2010-02-07	2010-04-19	72	SCH_5000_2	QM	15	SCH_5198	0.216
SCH_5200	2010-02-07	2010-05-06	89	SCH_5200_2	QM	15	SCH_5000	0.073
SCH_5000	2010-02-10	2010-05-07	87	SCH_5000_3	QM	15	SCH_5198	0.201
SCH_5200	2010-02-10	2010-06-16	127	SCH_5200_3	QM	15	GEN_0102	0.073
